client,marketing,verba_mensal_impulsionamento,copy,social_media,n_posts_contratados_estatico_instagram,n_posts_contratados_reels_instagram,n_posts_contratados_feed_linkedin,n_posts_contratados_stories_instagram,n_posts_contratados_feed_facebook,n_posts_contratados_feed_tiktok,url_img_logo,ativo,Impulsionamento,trafego_pago,linkedin,permissoes,fb_ad_account_id,redes_sociais,n_usuario_nstagram,id_instagram,fb_page_id,google_ads_account_id,hashtag_padrao,id_linkedin,n_pecas_contrato,n_producao_de_conteudo,n_finalizacoes_contrato,id_tiktok
Rosana Dias,Impulsionamento Plus,,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,1065883981050292,FALSE,_rosanadias,17841401153989971,281989278534170,,,,,,,
SAEB,Isabela / Gabriela ,300,Ramon,Adriele,15,5,,24,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-23-1.jpg,TRUE,TRUE,FALSE,FALSE,TRUE,2509967812351970,TRUE,saebanestesia,17841408378789587,1450210921863825,,#SaebAnestesia,,,,,
Sertenge,Isabela / Gabriela ,,Evelin,Adriele,6,2,8,24,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-34-2.jpg,TRUE,FALSE,FALSE,TRUE,TRUE,679626592800161,TRUE,sertengeengenharia,17841444537635340,797687203604311,,#Sertenge,24583037,,,,
SHI (Santander Holding Imobiliária),Paloma / Fabianne / Ana Luísa,,Ramon,Duda,,,12,,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-45.jpg,TRUE,FALSE,FALSE,TRUE,TRUE,,FALSE,,,,,#SHI,88067800,,,,
SMF Empreendimentos,Cândida / Monique ,300,Gisele,Daniel,4,2,,9,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-42.jpg,TRUE,FALSE,TRUE,FALSE,TRUE,536784921593524,TRUE,smfempreendimentos_,17841455402030926,107313168797588,,#SMFEmpreendimentos,,,,,
Sociedade de Mastologia,Cândida / Monique ,,Gisele,Daniel,6,2,,12,,,https://www.wolflair.com/wp-content/uploads/2017/01/placeholder.jpg,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,sbmastologia,,100994329663983,,#SociedadeBrasileiraDeMastologia,,,,,
SST+,Júlia / Paloma,,Ramon,Daniel,6,2,,12,,,,TRUE,FALSE,FALSE,FALSE,FALSE,640570108118373,TRUE,sstmais,17841455644188903,103271159301396,,#SSTMais,,,,,
Thalita Dog Trainer,Cândida / Wellington ,,Catharina,Duda,9,3,,16,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/05/THALITA-DOG.jpg,FALSE,TRUE,FALSE,FALSE,TRUE,5391749584262017,TRUE,thalitadogtrainer,17841447759281254,103597728542417,,,,,,,
Trapiche Bistrô,Mariana M. / Maiane,,Gisele,Thamile,15,5,,24,,,https://www.mandalamarketing.com.br/wp-content/uploads/2023/02/Logo-p_Site_300x170px-2-2.jpg,TRUE,TRUE,FALSE,FALSE,TRUE,327562819609138,TRUE,bistrottrapiche,17841404614497192,421811465270384,,#BistrotTrapicheAdega,,,,,
Sercos Nordeste,Júlia / Paloma,,Jéssica,Daniel,6,2,8,12,,,,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,,,,,#SercosNordeste,68546536,,,,
,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,
